charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk, calcium fortified (fat free or skim), nonfat, fluid
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 35.00, KCAL
"Fat", 0.18, G
"Protein", 3.40, G
"Carbohydrate", 4.85, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 4.85, G
"Vitamin E", 0.01, MG
"Lutein + zeaxanthin", 0.00, UG
"Folic acid", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Ash", 0.77, G
"Retinol", 137.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Water", 90.80, G
"Vitamin D (D2 + D3), International Units", 47.00, IU
"Calcium, Ca", 204.00, MG
"Potassium, K", 166.00, MG
"Zinc, Zn", 0.40, MG
"Niacin", 0.088, MG
"Vitamin B6", 0.040, MG
"Choline", 16.0, MG
"Folate, DFE", 5.00, UG
"Butanoic acid", 0.009, G
"Hexanoic acid", 0.001, G
"Decanoic acid", 0.004, G
"Hexadecanoic acid", 0.053, G
"Octadecanoic acid", 0.019, G
"Octadecenoic acid", 0.038, G
"Octadecadienoic acid", 0.005, G
"Octadecatrienoic acid", 0.002, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.047, G
"Polyunsaturated fatty acids", 0.007, G
"Folate, food", 5.00, UG
"Vitamin C", 1.0, MG
"Thiamin", 0.036, MG
"Riboflavin", 0.140, MG
"Folate", 5.00, UG
"Vitamin B12", 0.38, UG
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Iron, Fe", 0.04, MG
"Magnesium, Mg", 11.00, MG
"Phosphorus, P", 101.00, MG
"Sodium, Na", 52.00, MG
"Copper, Cu", 0.011, MG
"Vitamin A", 458.00, IU
"Vitamin D3", 1.20, UG
"Vitamin D", 1.20, UG
"Vitamin A, RAE", 137.00, UG
"Cholesterol", 2.00, MG
"Saturated fatty acids", 0.117, G
"Octanoic acid", 0.002, G
"Dodecanoic acid", 0.003, G
"Tetradecanoic acid", 0.017, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.007, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 2.1, UG
"Tocopherol, alpha", 0.01, MG
# Downloaded from https://www.nutritionvalue.org 
