charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Papaya nectar, canned
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 57.00, KCAL
"Fat", 0.15, G
"Protein", 0.17, G
"Carbohydrate", 14.51, G
"Folic acid", 0.00, UG
"Choline", 2.0, MG
"Sugars", 13.91, G
"Folate, DFE", 2.00, UG
"Vitamin A", 361.00, IU
"Vitamin A, RAE", 18.00, UG
"Folate, food", 2.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Octanoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Lutein + zeaxanthin", 25.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Vitamin E", 0.24, MG
"Vitamin K", 0.8, UG
"Cryptoxanthin, beta", 251.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 91.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Fiber", 0.6, G
"Iron, Fe", 0.34, MG
"Magnesium, Mg", 3.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 5.00, MG
"Copper, Cu", 0.013, MG
"Manganese, Mn", 0.013, MG
"Saturated fatty acids", 0.047, G
"Dodecanoic acid", 0.002, G
"Tetradecanoic acid", 0.008, G
"Vitamin C", 3.0, MG
"Thiamin", 0.006, MG
"Riboflavin", 0.004, MG
"Folate", 2.00, UG
"Vitamin B12", 0.00, UG
"Ash", 0.15, G
"Cholesterol", 0.00, MG
"Hexadecenoic acid", 0.022, G
"Water", 85.02, G
"Niacin", 0.150, MG
"Pantothenic acid", 0.054, MG
"Vitamin B6", 0.009, MG
"Calcium, Ca", 10.00, MG
"Potassium, K", 31.00, MG
"Zinc, Zn", 0.15, MG
"Monounsaturated fatty acids", 0.041, G
"Polyunsaturated fatty acids", 0.035, G
"Hexadecanoic acid", 0.035, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.019, G
"Octadecadienoic acid", 0.007, G
"Octadecatrienoic acid", 0.028, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.3, UG
"Tocopherol, alpha", 0.24, MG
# Downloaded from https://www.nutritionvalue.org 
