charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Milk dessert, chocolate, milk-fat free, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 167.00, KCAL
"Fat", 1.00, G
"Protein", 4.30, G
"Carbohydrate", 37.70, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.00, MG
"Folic acid", 0.00, UG
"Vitamin K", 0.0, UG
"Retinol", 0.00, UG
"Ash", 0.90, G
"Carotene, beta", 18.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Niacin", 0.100, MG
"Vitamin B6", 0.040, MG
"Choline", 0.9, MG
"Sugars", 37.70, G
"Calcium, Ca", 154.00, MG
"Potassium, K", 333.00, MG
"Zinc, Zn", 0.47, MG
"Water", 56.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.254, G
"Octadecanoic acid", 0.332, G
"Octadecenoic acid", 0.326, G
"Octadecadienoic acid", 0.028, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Folate, DFE", 6.00, UG
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.329, G
"Polyunsaturated fatty acids", 0.030, G
"Vitamin C", 0.7, MG
"Thiamin", 0.050, MG
"Riboflavin", 0.260, MG
"Folate", 6.00, UG
"Vitamin D3", 0.00, UG
"Vitamin D", 0.00, UG
"Alcohol, ethyl", 0.0, G
"Fiber", 0.0, G
"Iron, Fe", 0.04, MG
"Magnesium, Mg", 45.00, MG
"Phosphorus, P", 123.00, MG
"Sodium, Na", 97.00, MG
"Copper, Cu", 0.008, MG
"Vitamin A", 30.00, IU
"Vitamin A, RAE", 2.00, UG
"Vitamin B12", 0.55, UG
"Folate, food", 6.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.597, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.001, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.002, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Caffeine", 3.00, MG
"Selenium, Se", 2.6, UG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Theobromine", 62.00, MG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
