charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jams and preserves, apricot
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 242.00, KCAL
"Fat", 0.20, G
"Protein", 0.70, G
"Carbohydrate", 64.40, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Folic acid", 0.00, UG
"Vitamin E", 0.13, MG
"Fiber", 0.3, G
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Lycopene", 0.00, UG
"Cholesterol", 0.00, MG
"Carotene, alpha", 2.00, UG
"Vitamin A, RAE", 10.00, UG
"Water", 34.50, G
"Calcium, Ca", 20.00, MG
"Potassium, K", 77.00, MG
"Zinc, Zn", 0.06, MG
"Niacin", 0.036, MG
"Pantothenic acid", 0.020, MG
"Vitamin B6", 0.020, MG
"Ash", 0.20, G
"Iron, Fe", 0.49, MG
"Magnesium, Mg", 4.00, MG
"Sodium, Na", 40.00, MG
"Copper, Cu", 0.100, MG
"Manganese, Mn", 0.040, MG
"Saturated fatty acids", 0.010, G
"Vitamin C", 8.8, MG
"Thiamin", 0.000, MG
"Vitamin B12", 0.00, UG
"Vitamin D", 0.00, UG
"Choline", 0.4, MG
"Sugars", 43.40, G
"Lutein + zeaxanthin", 9.00, UG
"Selenium, Se", 2.0, UG
"Folate, DFE", 1.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Cryptoxanthin, beta", 11.00, UG
"Vitamin K", 0.0, UG
"Folate, food", 1.00, UG
"Vitamin B12, added", 0.00, UG
"Riboflavin", 0.022, MG
"Folate", 1.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin A", 205.00, IU
"Carotene, beta", 116.00, UG
"Phosphorus, P", 3.00, MG
"Tocopherol, alpha", 0.13, MG
# Downloaded from https://www.nutritionvalue.org 
