charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Goose, roasted, cooked, meat only, domesticated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 238.00, KCAL
"Fat", 12.67, G
"Protein", 28.97, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Folate, DFE", 12.00, UG
"Selenium, Se", 25.5, UG
"Retinol", 12.00, UG
"Vitamin A, RAE", 12.00, UG
"Ash", 1.14, G
"Fiber", 0.0, G
"Iron, Fe", 2.87, MG
"Magnesium, Mg", 25.00, MG
"Phosphorus, P", 309.00, MG
"Sodium, Na", 76.00, MG
"Copper, Cu", 0.276, MG
"Manganese, Mn", 0.024, MG
"Vitamin A", 40.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.092, MG
"Riboflavin", 0.390, MG
"Folate", 12.00, UG
"Vitamin B12", 0.49, UG
"Folate, food", 12.00, UG
"Tryptophan", 0.403, G
"Threonine", 1.238, G
"Methionine", 0.783, G
"Phenylalanine", 1.214, G
"Tyrosine", 1.103, G
"Alanine", 1.835, G
"Glutamic acid", 4.533, G
"Glycine", 1.622, G
"Proline", 1.423, G
"Cholesterol", 96.00, MG
"Saturated fatty acids", 4.560, G
"Dodecanoic acid", 0.040, G
"Tetradecanoic acid", 0.050, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.440, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatrienoic acid", 0.150, G
"Eicosatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.010, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 4.340, G
"Polyunsaturated fatty acids", 1.540, G
"Niacin", 4.081, MG
"Pantothenic acid", 1.834, MG
"Vitamin B6", 0.470, MG
"Water", 57.23, G
"Calcium, Ca", 14.00, MG
"Potassium, K", 388.00, MG
"Zinc, Zn", 3.17, MG
"Isoleucine", 1.488, G
"Leucine", 2.447, G
"Lysine", 2.480, G
"Cystine", 0.445, G
"Valine", 1.516, G
"Arginine", 1.849, G
"Histidine", 0.765, G
"Aspartic acid", 2.837, G
"Serine", 1.247, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 2.610, G
"Octadecanoic acid", 1.400, G
"Octadecenoic acid", 3.880, G
"Octadecadienoic acid", 1.370, G
# Downloaded from https://www.nutritionvalue.org 
