charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Alcoholic beverage, 80 proof, vodka, distilled
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 231.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Folic acid", 0.00, UG
"Fiber", 0.0, G
"Niacin", 0.000, MG
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Water", 66.60, G
"Calcium, Ca", 0.00, MG
"Potassium, K", 1.00, MG
"Zinc, Zn", 0.00, MG
"Isoleucine", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Serine", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Alcohol, ethyl", 33.4, G
"Iron, Fe", 0.01, MG
"Magnesium, Mg", 0.00, MG
"Phosphorus, P", 5.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.010, MG
"Manganese, Mn", 0.000, MG
"Vitamin A", 0.00, IU
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin C", 0.0, MG
"Thiamin", 0.005, MG
"Riboflavin", 0.007, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Folate, food", 0.00, UG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Folate, DFE", 0.00, UG
"Retinol", 0.00, UG
"Sugars", 0.00, G
"Fatty acids, total trans", 0.000, G
"Ash", 0.01, G
"Vitamin B12, added", 0.00, UG
"Selenium, Se", 0.0, UG
# Downloaded from https://www.nutritionvalue.org 
