charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Jams and preserves, any flavor, no sugar (with sodium saccharin)
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 132.00, KCAL
"Fat", 0.30, G
"Protein", 0.30, G
"Carbohydrate", 53.42, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 0.0, UG
"Ash", 0.18, G
"Vitamin E", 0.09, MG
"Folic acid", 0.00, UG
"Lutein + zeaxanthin", 0.00, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 37.81, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 1.7, UG
"Water", 45.80, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.011, G
"Octadecanoic acid", 0.003, G
"Octadecenoic acid", 0.041, G
"Octadecadienoic acid", 0.088, G
"Octadecatrienoic acid", 0.063, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.042, G
"Polyunsaturated fatty acids", 0.151, G
"Calcium, Ca", 9.00, MG
"Potassium, K", 69.00, MG
"Zinc, Zn", 0.06, MG
"Niacin", 0.000, MG
"Vitamin B6", 0.020, MG
"Choline", 8.0, MG
"Folate, DFE", 9.00, UG
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Folate", 9.00, UG
"Vitamin B12", 0.00, UG
"Fiber", 2.5, G
"Iron, Fe", 0.40, MG
"Magnesium, Mg", 5.00, MG
"Phosphorus, P", 9.00, MG
"Sodium, Na", 0.00, MG
"Copper, Cu", 0.024, MG
"Vitamin A", 0.00, IU
"Folate, food", 9.00, UG
"Cholesterol", 0.00, MG
"Saturated fatty acids", 0.016, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.001, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Alcohol, ethyl", 0.0, G
"Tocopherol, alpha", 0.09, MG
# Downloaded from https://www.nutritionvalue.org 
