charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, chamomile, brewed, herb, tea
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 1.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 0.20, G
"Folic acid", 0.00, UG
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Vitamin E", 0.00, MG
"Lutein + zeaxanthin", 0.00, UG
"Octadecanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Carotene, beta", 12.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Vitamin K", 0.0, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Folate, food", 1.00, UG
"Cholesterol", 0.00, MG
"Fiber", 0.0, G
"Iron, Fe", 0.08, MG
"Magnesium, Mg", 1.00, MG
"Phosphorus, P", 0.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.015, MG
"Manganese, Mn", 0.044, MG
"Vitamin A", 20.00, IU
"Vitamin C", 0.0, MG
"Thiamin", 0.010, MG
"Riboflavin", 0.004, MG
"Folate", 1.00, UG
"Vitamin B12", 0.00, UG
"Niacin", 0.000, MG
"Pantothenic acid", 0.011, MG
"Vitamin B6", 0.000, MG
"Calcium, Ca", 2.00, MG
"Potassium, K", 9.00, MG
"Zinc, Zn", 0.04, MG
"Water", 99.70, G
"Caffeine", 0.00, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 1.00, UG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.002, G
"Ash", 0.01, G
"Monounsaturated fatty acids", 0.001, G
"Polyunsaturated fatty acids", 0.005, G
"Octadecenoic acid", 0.001, G
"Octadecadienoic acid", 0.002, G
"Octadecatrienoic acid", 0.003, G
"Choline", 0.0, MG
"Hexadecanoic acid", 0.002, G
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Folate, DFE", 1.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.0, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
