charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, club soda, carbonated
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 0.00, KCAL
"Fat", 0.00, G
"Protein", 0.00, G
"Carbohydrate", 0.00, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Pantothenic acid", 0.000, MG
"Vitamin B6", 0.000, MG
"Caffeine", 0.00, MG
"Isoleucine", 0.000, G
"Fiber", 0.0, G
"Alcohol, ethyl", 0.0, G
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Tryptophan", 0.000, G
"Threonine", 0.000, G
"Niacin", 0.000, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.000, G
"Octadecanoic acid", 0.000, G
"Octadecenoic acid", 0.000, G
"Octadecadienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.000, G
"Polyunsaturated fatty acids", 0.000, G
"Leucine", 0.000, G
"Lysine", 0.000, G
"Cystine", 0.000, G
"Valine", 0.000, G
"Arginine", 0.000, G
"Histidine", 0.000, G
"Aspartic acid", 0.000, G
"Calcium, Ca", 5.00, MG
"Potassium, K", 2.00, MG
"Zinc, Zn", 0.10, MG
"Cholesterol", 0.00, MG
"Hexadecenoic acid", 0.000, G
"Methionine", 0.000, G
"Phenylalanine", 0.000, G
"Tyrosine", 0.000, G
"Alanine", 0.000, G
"Glutamic acid", 0.000, G
"Glycine", 0.000, G
"Proline", 0.000, G
"Vitamin C", 0.0, MG
"Thiamin", 0.000, MG
"Riboflavin", 0.000, MG
"Saturated fatty acids", 0.000, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Phosphorus, P", 0.00, MG
"Sodium, Na", 21.00, MG
"Ash", 0.10, G
"Octadecatrienoic acid", 0.000, G
"Water", 99.90, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Theobromine", 0.00, MG
"Copper, Cu", 0.006, MG
"Manganese, Mn", 0.001, MG
"Iron, Fe", 0.01, MG
"Retinol", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Magnesium, Mg", 1.00, MG
"Folic acid", 0.00, UG
"Folate, food", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin A", 0.00, IU
"Folate, DFE", 0.00, UG
"Choline", 0.0, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 0.0, UG
"Vitamin E", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.0, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
