charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Loganberries, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 55.00, KCAL
"Fat", 0.31, G
"Protein", 1.52, G
"Carbohydrate", 13.02, G
"Folic acid", 0.00, UG
"Folate, DFE", 26.00, UG
"Choline", 8.5, MG
"Vitamin A, RAE", 2.00, UG
"Folate, food", 26.00, UG
"Saturated fatty acids", 0.011, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Polyunsaturated fatty acids", 0.176, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.007, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.028, G
"Octadecadienoic acid", 0.117, G
"Octadecatrienoic acid", 0.059, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.002, G
"Docosenoic acid", 0.000, G
"Fiber", 5.3, G
"Carotene, beta", 21.00, UG
"Carotene, alpha", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin K", 7.8, UG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 7.70, G
"Selenium, Se", 0.2, UG
"Vitamin E", 0.87, MG
"Lutein + zeaxanthin", 118.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Monounsaturated fatty acids", 0.030, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Calcium, Ca", 26.00, MG
"Potassium, K", 145.00, MG
"Zinc, Zn", 0.34, MG
"Water", 84.61, G
"Niacin", 0.840, MG
"Pantothenic acid", 0.244, MG
"Vitamin B6", 0.065, MG
"Vitamin C", 15.3, MG
"Thiamin", 0.050, MG
"Riboflavin", 0.034, MG
"Folate", 26.00, UG
"Vitamin B12", 0.00, UG
"Iron, Fe", 0.64, MG
"Magnesium, Mg", 21.00, MG
"Phosphorus, P", 26.00, MG
"Sodium, Na", 1.00, MG
"Copper, Cu", 0.117, MG
"Manganese, Mn", 1.247, MG
"Vitamin A", 35.00, IU
"Ash", 0.54, G
"Cholesterol", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Tocopherol, alpha", 0.87, MG
# Downloaded from https://www.nutritionvalue.org 
