charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Cherries, sweetened, dried, tart
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 333.00, KCAL
"Fat", 0.73, G
"Protein", 1.25, G
"Carbohydrate", 80.45, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.103, G
"Octadecanoic acid", 0.035, G
"Octadecenoic acid", 0.175, G
"Octadecadienoic acid", 0.102, G
"Octadecatrienoic acid", 0.092, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.177, G
"Polyunsaturated fatty acids", 0.194, G
"Water", 16.60, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 67.15, G
"Calcium, Ca", 38.00, MG
"Potassium, K", 376.00, MG
"Zinc, Zn", 0.25, MG
"Selenium, Se", 0.4, UG
"Vitamin E", 0.17, MG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Lutein + zeaxanthin", 173.00, UG
"Niacin", 0.867, MG
"Vitamin B6", 0.101, MG
"Choline", 14.7, MG
"Folic acid", 0.00, UG
"Folate, DFE", 11.00, UG
"Vitamin E, added", 0.00, MG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Ash", 0.97, G
"Alcohol, ethyl", 0.0, G
"Fiber", 2.5, G
"Iron, Fe", 0.68, MG
"Magnesium, Mg", 22.00, MG
"Phosphorus, P", 36.00, MG
"Sodium, Na", 13.00, MG
"Copper, Cu", 0.229, MG
"Vitamin A", 2829.00, IU
"Retinol", 0.00, UG
"Vitamin A, RAE", 141.00, UG
"Carotene, beta", 1697.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin D", 0.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin C", 19.3, MG
"Thiamin", 0.058, MG
"Riboflavin", 0.101, MG
"Folate", 11.00, UG
"Vitamin B12", 0.00, UG
"Vitamin K", 5.1, UG
"Folate, food", 11.00, UG
"Vitamin B12, added", 0.00, UG
"Cholesterol", 0.00, MG
"Fatty acids, total trans", 0.000, G
"Saturated fatty acids", 0.146, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.004, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.002, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Tocopherol, alpha", 0.17, MG
# Downloaded from https://www.nutritionvalue.org 
