charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Beverages, powder, regular, instant, coffee
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 353.00, KCAL
"Fat", 0.50, G
"Protein", 12.20, G
"Carbohydrate", 75.40, G
"Alcohol, ethyl", 0.0, G
"Folic acid", 0.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.000, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Theobromine", 0.00, MG
"Sugars", 0.00, G
"Lutein + zeaxanthin", 0.00, UG
"Vitamin E", 0.00, MG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Vitamin A, RAE", 0.00, UG
"Carotene, beta", 0.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin K", 1.9, UG
"Folate, food", 0.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Folate, DFE", 0.00, UG
"Ash", 8.80, G
"Fiber", 0.0, G
"Iron, Fe", 4.41, MG
"Magnesium, Mg", 327.00, MG
"Phosphorus, P", 303.00, MG
"Sodium, Na", 37.00, MG
"Copper, Cu", 0.139, MG
"Manganese, Mn", 1.712, MG
"Vitamin A", 0.00, IU
"Tryptophan", 0.030, G
"Threonine", 0.142, G
"Methionine", 0.023, G
"Phenylalanine", 0.262, G
"Tyrosine", 0.165, G
"Alanine", 0.335, G
"Glutamic acid", 2.030, G
"Glycine", 0.441, G
"Proline", 0.351, G
"Saturated fatty acids", 0.197, G
"Cholesterol", 0.00, MG
"Vitamin C", 0.0, MG
"Thiamin", 0.008, MG
"Riboflavin", 0.074, MG
"Folate", 0.00, UG
"Vitamin B12", 0.00, UG
"Isoleucine", 0.172, G
"Leucine", 0.478, G
"Lysine", 0.096, G
"Cystine", 0.202, G
"Valine", 0.276, G
"Arginine", 0.053, G
"Histidine", 0.165, G
"Aspartic acid", 0.478, G
"Serine", 0.126, G
"Niacin", 28.173, MG
"Pantothenic acid", 0.097, MG
"Vitamin B6", 0.029, MG
"Calcium, Ca", 141.00, MG
"Potassium, K", 3535.00, MG
"Zinc, Zn", 0.35, MG
"Eicosenoic acid", 0.001, G
"Hexadecanoic acid", 0.146, G
"Octadecanoic acid", 0.035, G
"Octadecenoic acid", 0.040, G
"Octadecadienoic acid", 0.180, G
"Octadecatrienoic acid", 0.015, G
"Monounsaturated fatty acids", 0.041, G
"Polyunsaturated fatty acids", 0.196, G
"Water", 3.10, G
"Caffeine", 3142.00, MG
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Choline", 101.9, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 12.6, UG
"Tocopherol, alpha", 0.00, MG
# Downloaded from https://www.nutritionvalue.org 
