charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Okra, unprepared, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 30.00, KCAL
"Fat", 0.25, G
"Protein", 1.69, G
"Carbohydrate", 6.63, G
"Folic acid", 0.00, UG
"Vitamin K", 49.4, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 210.00, UG
"Carotene, alpha", 0.00, UG
"Vitamin E", 0.33, MG
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 2.97, G
"Lutein + zeaxanthin", 482.00, UG
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Vitamin A", 350.00, IU
"Vitamin A, RAE", 18.00, UG
"Folate, food", 148.00, UG
"Choline", 11.4, MG
"Folate, DFE", 148.00, UG
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Cholesterol", 0.00, MG
"Hexadecenoic acid", 0.001, G
"Tetradecanoic acid", 0.000, G
"Fiber", 2.2, G
"Iron, Fe", 0.57, MG
"Magnesium, Mg", 43.00, MG
"Phosphorus, P", 42.00, MG
"Sodium, Na", 3.00, MG
"Copper, Cu", 0.083, MG
"Manganese, Mn", 0.873, MG
"Ash", 0.61, G
"Tryptophan", 0.014, G
"Threonine", 0.055, G
"Methionine", 0.018, G
"Phenylalanine", 0.055, G
"Tyrosine", 0.073, G
"Alanine", 0.061, G
"Glutamic acid", 0.228, G
"Glycine", 0.037, G
"Proline", 0.038, G
"Saturated fatty acids", 0.065, G
"Vitamin C", 12.4, MG
"Thiamin", 0.089, MG
"Riboflavin", 0.105, MG
"Folate", 148.00, UG
"Vitamin B12", 0.00, UG
"Monounsaturated fatty acids", 0.041, G
"Polyunsaturated fatty acids", 0.066, G
"Hexadecanoic acid", 0.055, G
"Octadecanoic acid", 0.006, G
"Octadecenoic acid", 0.041, G
"Octadecadienoic acid", 0.065, G
"Octadecatrienoic acid", 0.001, G
"Eicosatetraenoic acid", 0.000, G
"Water", 90.82, G
"Isoleucine", 0.058, G
"Leucine", 0.089, G
"Lysine", 0.068, G
"Cystine", 0.016, G
"Valine", 0.077, G
"Arginine", 0.071, G
"Histidine", 0.026, G
"Aspartic acid", 0.122, G
"Serine", 0.037, G
"Niacin", 0.708, MG
"Pantothenic acid", 0.216, MG
"Vitamin B6", 0.042, MG
"Calcium, Ca", 81.00, MG
"Potassium, K", 211.00, MG
"Zinc, Zn", 0.53, MG
"Vitamin E, added", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin D", 0.00, UG
"Selenium, Se", 0.6, UG
"Tocopherol, alpha", 0.33, MG
# Downloaded from https://www.nutritionvalue.org 
