charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Rhubarb, uncooked, frozen
# Serving size 100 g
Nutrient, Amount, Unit
"Calories", 21.00, KCAL
"Fat", 0.11, G
"Protein", 0.55, G
"Carbohydrate", 5.10, G
"Folic acid", 0.00, UG
"Butanoic acid", 0.000, G
"Hexanoic acid", 0.000, G
"Decanoic acid", 0.000, G
"Hexadecanoic acid", 0.025, G
"Octadecanoic acid", 0.002, G
"Octadecenoic acid", 0.020, G
"Octadecadienoic acid", 0.054, G
"Octadecatrienoic acid", 0.000, G
"Eicosatetraenoic acid", 0.000, G
"Octadecatetraenoic acid", 0.000, G
"Eicosenoic acid", 0.000, G
"Docosenoic acid", 0.000, G
"Monounsaturated fatty acids", 0.021, G
"Polyunsaturated fatty acids", 0.054, G
"Saturated fatty acids", 0.029, G
"Octanoic acid", 0.000, G
"Dodecanoic acid", 0.000, G
"Tetradecanoic acid", 0.001, G
"Docosahexaenoic n-3 acid (DHA)", 0.00, G
"Hexadecenoic acid", 0.001, G
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G
"Docosapentaenoic n-3 acid (DPA)", 0.00, G
"Caffeine", 0.00, MG
"Theobromine", 0.00, MG
"Sugars", 1.10, G
"Lutein + zeaxanthin", 170.00, UG
"Cryptoxanthin, beta", 0.00, UG
"Lycopene", 0.00, UG
"Carotene, beta", 64.00, UG
"Carotene, alpha", 0.00, UG
"Choline", 6.1, MG
"Folate, DFE", 8.00, UG
"Vitamin E", 0.27, MG
"Vitamin K", 29.3, UG
"Folate, food", 8.00, UG
"Vitamin A, RAE", 5.00, UG
"Vitamin D (D2 + D3), International Units", 0.00, IU
"Alcohol, ethyl", 0.0, G
"Retinol", 0.00, UG
"Fatty acids, total trans", 0.000, G
"Water", 93.51, G
"Niacin", 0.203, MG
"Pantothenic acid", 0.065, MG
"Vitamin B6", 0.025, MG
"Calcium, Ca", 194.00, MG
"Potassium, K", 108.00, MG
"Zinc, Zn", 0.10, MG
"Fiber", 1.8, G
"Iron, Fe", 0.29, MG
"Magnesium, Mg", 18.00, MG
"Phosphorus, P", 12.00, MG
"Sodium, Na", 2.00, MG
"Copper, Cu", 0.023, MG
"Manganese, Mn", 0.097, MG
"Vitamin A", 107.00, IU
"Ash", 0.72, G
"Vitamin C", 4.8, MG
"Thiamin", 0.031, MG
"Riboflavin", 0.029, MG
"Folate", 8.00, UG
"Vitamin B12", 0.00, UG
"Cholesterol", 0.00, MG
"Vitamin B12, added", 0.00, UG
"Vitamin E, added", 0.00, MG
"Vitamin D", 0.00, UG
"Selenium, Se", 1.1, UG
"Tocopherol, alpha", 0.27, MG
# Downloaded from https://www.nutritionvalue.org 
